task_id,subtask_id,fragment,locator,allowlist,blocklist,depends_on
P0001,,sources/piece-01/score.mei,score-setup,,,
P0001,S0001,sources/piece-01/score.mei,score-setup,,,
P0002,,sources/piece-01/score.mei,measure-zones,,,P0001
P0002,S0001,sources/piece-01/score.mei,measure-zones,,,
T0001,,sources/piece-01/score.mei,surface-1,,,P0002
T0001,S0001,sources/piece-01/score.mei,surface-1,,,
T0002,,sources/piece-01/score.mei,surface-2,,,P0002
T0002,S0001,sources/piece-01/score.mei,surface-2,,,
T0003,,sources/piece-01/score.mei,surface-3,,,P0002
T0003,S0001,sources/piece-01/score.mei,surface-3,,,
T0004,,sources/piece-01/score.mei,surface-4,,,P0002
T0004,S0001,sources/piece-01/score.mei,surface-4,,,
P0003,,sources/piece-02/score.mei,score-setup,,,
P0003,S0001,sources/piece-02/score.mei,score-setup,,,
P0004,,sources/piece-02/score.mei,measure-zones,,,P0003
P0004,S0001,sources/piece-02/score.mei,measure-zones,,,
T0005,,sources/piece-02/score.mei,surface-1,,,P0004
T0005,S0001,sources/piece-02/score.mei,surface-1,,,
T0006,,sources/piece-02/score.mei,surface-2,,,P0004
T0006,S0001,sources/piece-02/score.mei,surface-2,,,
P0005,,sources/piece-03/score.mei,score-setup,,,
P0005,S0001,sources/piece-03/score.mei,score-setup,,,
P0006,,sources/piece-03/score.mei,measure-zones,,,P0005
P0006,S0001,sources/piece-03/score.mei,measure-zones,,,
T0007,,sources/piece-03/score.mei,surface-1,,,P0006
T0007,S0001,sources/piece-03/score.mei,surface-1,,,
T0008,,sources/piece-03/score.mei,surface-2,,,P0006
T0008,S0001,sources/piece-03/score.mei,surface-2,,,
T0009,,sources/piece-03/score.mei,surface-3,,,P0006
T0009,S0001,sources/piece-03/score.mei,surface-3,,,
P0007,,sources/piece-04/score.mei,score-setup,,,
P0007,S0001,sources/piece-04/score.mei,score-setup,,,
P0008,,sources/piece-04/score.mei,measure-zones,,,P0007
P0008,S0001,sources/piece-04/score.mei,measure-zones,,,
T0010,,sources/piece-04/score.mei,surface-1,,,P0008
T0010,S0001,sources/piece-04/score.mei,surface-1,,,
P0009,,sources/piece-05/score.mei,score-setup,,,
P0009,S0001,sources/piece-05/score.mei,score-setup,,,
P0010,,sources/piece-05/score.mei,measure-zones,,,P0009
P0010,S0001,sources/piece-05/score.mei,measure-zones,,,
T0011,,sources/piece-05/score.mei,surface-1,,,P0010
T0011,S0001,sources/piece-05/score.mei,surface-1,,,
T0012,,sources/piece-05/score.mei,surface-2,,,P0010
T0012,S0001,sources/piece-05/score.mei,surface-2,,,
P0011,,sources/piece-06/score.mei,score-setup,,,
P0011,S0001,sources/piece-06/score.mei,score-setup,,,
P0012,,sources/piece-06/score.mei,measure-zones,,,P0011
P0012,S0001,sources/piece-06/score.mei,measure-zones,,,
T0013,,sources/piece-06/score.mei,surface-1,,,P0012
T0013,S0001,sources/piece-06/score.mei,surface-1,,,
T0014,,sources/piece-06/score.mei,surface-2,,,P0012
T0014,S0001,sources/piece-06/score.mei,surface-2,,,
